Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,DC2_LEAF1,Ethernet1,172.31.20.139/31,spine,DC2_SPINE1,Ethernet1,172.31.20.138/31
l3leaf,DC2_LEAF1,Ethernet2,172.31.20.141/31,spine,DC2_SPINE2,Ethernet1,172.31.20.140/31
l3leaf,DC2_LEAF1,Ethernet3,172.31.20.143/31,spine,DC2_SPINE3,Ethernet1,172.31.20.142/31
l3leaf,DC2_LEAF2,Ethernet1,172.31.20.145/31,spine,DC2_SPINE1,Ethernet2,172.31.20.144/31
l3leaf,DC2_LEAF2,Ethernet2,172.31.20.147/31,spine,DC2_SPINE2,Ethernet2,172.31.20.146/31
l3leaf,DC2_LEAF2,Ethernet3,172.31.20.149/31,spine,DC2_SPINE3,Ethernet2,172.31.20.148/31
l3leaf,DC2_LEAF3,Ethernet1,172.31.20.151/31,spine,DC2_SPINE1,Ethernet3,172.31.20.150/31
l3leaf,DC2_LEAF3,Ethernet2,172.31.20.153/31,spine,DC2_SPINE2,Ethernet3,172.31.20.152/31
l3leaf,DC2_LEAF3,Ethernet3,172.31.20.155/31,spine,DC2_SPINE3,Ethernet3,172.31.20.154/31
l3leaf,DC2_LEAF4,Ethernet1,172.31.20.157/31,spine,DC2_SPINE1,Ethernet4,172.31.20.156/31
l3leaf,DC2_LEAF4,Ethernet2,172.31.20.159/31,spine,DC2_SPINE2,Ethernet4,172.31.20.158/31
l3leaf,DC2_LEAF4,Ethernet3,172.31.20.161/31,spine,DC2_SPINE3,Ethernet4,172.31.20.160/31
